stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Selhurst Park,1992-12-20,4.2,3.0,5.7,2.0,nan,38.0,15.4,nan,1024.0,nan
Selhurst Park,1992-12-26,4.7,4.0,5.7,nan,nan,35.0,17.2,nan,1037.7,nan
Selhurst Park,1993-01-09,9.8,5.8,12.2,2.0,nan,218.0,21.0,nan,1014.3,nan
Selhurst Park,1993-01-30,6.0,4.6,7.9,nan,nan,104.0,7.5,nan,1025.2,nan
Selhurst Park,1993-02-10,2.9,2.1,4.0,0.0,nan,102.0,6.2,nan,1030.9,nan
Selhurst Park,1993-02-27,2.1,-0.8,3.2,0.0,10.0,354.0,21.3,nan,1021.2,nan
Selhurst Park,1993-03-15,12.3,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
Selhurst Park,1993-03-23,7.3,3.7,10.6,0.0,nan,246.0,19.7,nan,1023.1,nan
Selhurst Park,1993-04-03,7.4,4.8,10.0,1.0,nan,152.0,15.9,nan,1010.1,nan
Selhurst Park,1993-04-12,10.4,7.1,14.0,nan,nan,108.0,9.9,nan,1001.7,nan
Selhurst Park,1993-04-21,13.2,10.5,16.4,0.0,nan,227.0,13.8,nan,1007.0,nan
Selhurst Park,1993-05-01,14.0,nan,19.8,0.0,nan,nan,nan,nan,nan,nan
Selhurst Park,1994-08-20,15.5,9.8,21.0,0.0,nan,225.0,8.7,nan,1013.7,nan
Selhurst Park,1994-08-30,13.5,8.2,18.4,nan,nan,nan,4.8,nan,1016.0,nan
Selhurst Park,1994-09-17,10.1,7.0,13.4,nan,nan,289.0,15.1,nan,1020.5,nan
Selhurst Park,1994-09-24,15.3,13.7,17.1,0.0,nan,45.0,17.2,nan,1014.9,nan
Selhurst Park,1994-10-15,10.8,4.6,18.4,nan,nan,26.0,6.3,nan,1021.3,nan
Selhurst Park,1994-10-22,14.1,11.7,16.5,10.9,nan,186.0,19.9,nan,988.5,nan
Selhurst Park,1994-11-05,11.9,10.4,14.4,18.0,nan,270.0,9.5,nan,1003.9,nan
Selhurst Park,1994-11-26,11.7,10.0,12.7,0.0,nan,261.0,8.9,nan,1031.6,nan
