,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
109,1997,26,1997-03-12,Leeds United,0,0,Southampton,D,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-03-12,9.3,6.8,11.8,,,237.0,20.3,,,
110,1998,1,1997-08-09,Leeds United,1,1,Arsenal,D,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-08-09,20.1,16.8,22.8,,,280.0,14.9,,,
111,1998,7,1997-09-20,Leeds United,0,1,Leicester City,A,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-09-20,12.0,8.8,15.8,,,106.0,13.2,,,
112,1998,14,1997-11-08,Leeds United,4,3,Derby County,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-11-08,7.2,4.8,8.8,,,28.0,12.5,,,
113,1998,21,1997-12-28,Leeds United,1,1,Aston Villa,D,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1997-12-28,5.1,3.8,6.8,,,258.0,23.9,,,
114,1998,28,1998-02-28,Leeds United,0,1,Southampton,A,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1998-02-28,2.3,0.8,4.8,,,269.0,25.7,,,
115,1998,26,1998-03-11,Leeds United,4,0,Blackburn,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1998-03-11,6.6,2.8,8.8,,,322.0,27.0,,,
116,1999,2,1998-08-24,Leeds United,1,0,Blackburn,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1998-08-24,13.1,9.8,15.8,,,318.0,19.8,,,
117,1999,10,1998-10-25,Leeds United,0,0,Chelsea,D,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1998-10-25,7.5,4.8,10.8,,,278.0,40.2,,,
118,1999,26,1999-02-20,Leeds United,1,0,Everton,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1999-02-20,6.1,4.8,7.8,,,257.0,29.8,,,
119,1999,30,1999-03-20,Leeds United,4,1,Derby County,H,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England,Elland Road,1999-03-20,7.0,4.8,8.8,,,268.0,22.3,,,
